feature,mean_ic_horizons,mean_ic_absmax_horizons,std_ic_horizons,overall_ic_horizons
ema_10,-0.06863,0.07550,0.00455,-0.04521
ema_15,-0.07028,0.07910,0.00532,-0.04608
ema_20,-0.06542,0.07721,0.00481,-0.04507
ema_3,-0.06705,0.08109,0.00339,-0.04412
ema_5,-0.06786,0.07814,0.00372,-0.04478
price_ma20_ratio,-0.00418,0.02629,0.01139,0.00437
ret_1,-0.03643,0.05105,0.01397,-0.02971
ret_10,0.00725,0.03434,0.00293,0.01373
ret_15,-0.00443,0.02014,0.01034,0.00531
ret_20,-0.00859,0.02943,0.00636,0.00667
ret_3,-0.01955,0.05101,0.01113,-0.01181
ret_5,-0.01608,0.06459,0.01099,-0.00997
vol_120,0.03068,0.03997,0.00264,0.01095
vol_20,0.06013,0.08056,0.01778,0.02066
vol_60,0.04076,0.05351,0.00120,0.00973
volume_ratio_120,0.05483,0.08099,0.00411,0.02605
volume_ratio_20,0.01418,0.07174,0.01036,0.00825
volume_ratio_60,0.03745,0.06864,0.00958,0.01884
volume_zscore_120,0.05400,0.07615,0.00553,0.02413
volume_zscore_20,0.02116,0.06377,0.01075,0.01492
volume_zscore_60,0.03434,0.06620,0.00939,0.01648
